passID,timestamp,stationRef,vehicleRef,charge,hn,p
WSI3219904,2019-1-1 1:33:24,KO01,ED51EWW52190,2.8,KO,home
TOB7336760,2019-1-1 1:37:35,OO12,AT19HLV57173,2.8,OO,home
LDD7262109,2019-1-1 2:50:14,OO06,AT19HLV57173,2.8,OO,home
NSR5538511,2019-1-1 5:23:14,AO07,DP11ENT03275,3.1,AO,home
BDG6166982,2019-1-1 6:03:26,AO18,LG64ARC91224,13.0,AO,home
YWD3967715,2019-1-1 6:09:30,MR06,QO68DIC93032,2.5,MR,home
THF3239181,2019-1-1 6:10:38,OO12,XV40HUQ04740,1.25,OO,home
DKZ3204266,2019-1-1 7:28:10,EG04,TV81MAQ99005,2.8,EG,home
VSD5346273,2019-1-1 8:17:57,EG03,CP56DAO45598,2.8,GF,away
UTI9677334,2019-1-1 8:52:43,AO13,DP11ENT03275,3.1,AO,home
UIV0991172,2019-1-1 9:35:35,AO16,NO82BAX82566,2.8,NE,away
BIM5756381,2019-1-1 9:53:45,KO08,QW79CHL42244,2.8,KO,home
JVV5228001,2019-1-1 10:33:20,KO04,JO50FSF60755,2.2,KO,home
TYV5505416,2019-1-1 10:41:24,KO08,WY00MLL63827,1.0,KO,home
DVP9052273,2019-1-1 12:23:34,GF00,PF04UCA93312,3.1,GF,home
RCN6097732,2019-1-1 12:45:45,GF00,IO09FGE68100,2.8,GF,home
UPC0934127,2019-1-1 16:48:34,OO04,CP56DAO45598,2.5,GF,away
UYS4444642,2019-1-1 16:52:38,NE09,QP02SYE47964,2.8,NE,home
YOW7433640,2019-1-1 17:18:17,AO02,QN23UHH39091,2.8,MR,away
JLS1333152,2019-1-1 17:41:56,EG08,CR31GMR97972,1.5,EG,home
QGO0903208,2019-1-1 18:02:31,EG02,TE24LCO18661,1.25,EG,home
IRK4760444,2019-1-1 19:39:38,EG11,MU06LHX94338,1.5,EG,home
YZL7519880,2019-1-1 23:13:40,EG12,MU06LHX94338,1.5,EG,home
XRS9245728,2019-1-1 23:35:51,KO06,HW75BKT77773,2.2,KO,home
ADK8001607,2019-1-2 0:22:03,OO12,EM54HQI58682,2.8,OO,home
ZLJ2429774,2019-1-2 0:39:29,EG07,CM15YCB60994,2.0,EG,home
PFK3153908,2019-1-2 1:25:14,EG09,CM15YCB60994,2.0,EG,home
OJF7533092,2019-1-2 2:21:10,NE09,FY47TUN40300,1.0,NE,home
AYA2207372,2019-1-2 2:42:50,EG02,DW44ZOO26361,2.5,EG,home
SUW7443304,2019-1-2 3:30:50,GF00,JE65QJK64802,2.8,GF,home
NQU2005152,2019-1-2 4:18:07,AO18,RR73DWB65452,2.8,AO,home
PZE1892597,2019-1-2 4:24:57,OO00,AT19HLV57173,2.8,OO,home
AYH8728597,2019-1-2 4:28:14,GF00,QO68DIC93032,13.0,MR,away
XJD2966445,2019-1-2 5:50:22,GF00,DO24BCW15511,13.0,KO,away
HVQ7237032,2019-1-2 6:12:07,KO00,KB55KTM48860,2.5,KO,home
NHY3086874,2019-1-2 7:11:08,AO15,YL27IFD65117,2.0,AO,home
MGU4398755,2019-1-2 7:14:48,NE08,EG95RTB75032,2.8,NE,home
GEM5057485,2019-1-2 7:28:36,OO12,AT19HLV57173,2.8,OO,home
FFA6207327,2019-1-2 7:42:02,OO07,QR03XCJ37459,2.8,OO,home
OLV7217348,2019-1-2 8:19:48,MR04,IZ65WAT29135,2.0,MR,home
NKM7840606,2019-1-2 9:06:10,OO02,MX39VOS38645,2.0,AO,away
QZY0176136,2019-1-2 10:20:54,OO01,QR03XCJ37459,2.5,OO,home
LEV3798414,2019-1-2 11:04:12,OO04,RK48BOP88344,2.8,OO,home
XCW7548977,2019-1-2 13:49:39,KO07,QO77TFN61853,2.2,KO,home
SSH1766507,2019-1-2 14:10:33,NE15,MQ65WJJ60020,1.0,KO,away
AWB9004088,2019-1-2 15:24:47,AO04,HT62RDI04611,2.8,AO,home
SNO1901037,2019-1-2 16:40:43,AO15,BM25PHF40639,13.0,AO,home
OCG0520265,2019-1-2 16:45:32,NE02,VX68BAR38623,1.5,NE,home
PZY6450746,2019-1-2 19:54:38,MR00,IZ65WAT29135,2.0,MR,home
SVP4480098,2019-1-2 19:54:58,OO07,RK48BOP88344,2.8,OO,home
CKM4226732,2019-1-2 21:13:27,GF00,BY85QGR11636,2.5,GF,home
KYZ7726118,2019-1-2 21:13:29,MR05,XV91YMP27722,2.5,MR,home
